,Title,Venue,Time,Price
0,【上海】 舞台剧《繁花》第二季,上海 | 美琪大戏院,2021.11.28-12.05,280-1080             元
1,【上海】 开心麻花喜剪吹沉浸剧场《疯狂理发店》,上海 | 疯狂理发店,2021.10.12-10.31,280-620             元
2,【上海】 万茜主演舞台剧《倾城之恋》,上海 | 上海大剧院-大剧场,2021.10.27-10.31,180-1080             元
3,【上海】 音乐剧《悟空》,上海 | 上剧场,2021.12.17-12.19,180-580             元
4,【上海】 开心麻花全能喜剧人争霸战《 嘻嘻！蛤？》,上海 | +0剧场(加零剧场),2021.10.22-10.24,180-380             元
5,【上海】 环境式驻演音乐剧《危险游戏》,上海 | 星空间66号·Salute小剧场,2021.10.11-10.31,299-399             元
6,【上海】 经典法语音乐剧《罗密欧与朱丽叶》中文版,上海 | 上汽上海文化广场,2021.11.26-12.05,80-1080             元
7,【上海】 舞台喜剧《惊梦》,上海 | 上海大剧院-大剧场,2021.11.18-11.21,180-1080             元
8,【上海】 原创音乐剧《赵氏孤儿》,上海 | 上汽上海文化广场,2021.10.27-10.31,80-1080             元
9,【上海】 环境式沉浸舞蹈剧场《寅时说》,上海 | 星空间5号·山眠剧场,2021.10.28-11.28,200-380             元
10,【上海】 染空间中文原创音乐剧《人间失格》,上海 | 上海大剧院-大剧场,2021.12.10-12.17,180-1080             元
11,【上海】 话剧《莎士比亚的罗朱》中文版,上海 | 上剧场,2021.12.02-12.12,280-580             元
12,【上海】 悬疑喜剧《低智商犯罪》,上海 | 美琪大戏院,2021.12.30-2022.01.02,180-580             元
13,【上海】 驻演爆笑喜剧《福尔摩斯探案：巴斯克维尔的猎犬》,上海 | 星空间221号·鲸剧场,2021.11.07-11.30,280-380             元
14,【上海】 开心麻花爆笑舞台剧《瞎画艺术家》,上海 | 开心麻花剧场(上海南翔印象城MEGA店),2021.10.22-10.24,100-580             元
15,【上海】 赖声川经典《暗恋桃花源》专属版,上海 | 上剧场,2022.02.17-02.27,100-800             元
16,【上海】 孟京辉经典戏剧作品《一个陌生女人的来信》,上海 | 上海大剧院-别克中剧场,2021.12.22-12.26,100-480             元
17,【上海】 赖声川的生命幻境旅程《曾经如是》,上海 | 上剧场,2022.01.10-01.11,580-2979             元
18,【上海】 开心麻花摇滚喜剧《牢友记》,上海 | 人民大舞台,2021.10.26-11.07,80-1180             元
19,【上海】 《伪君子》,上海 | 上海| 静安区文化馆·光影车间·静剧场,2021.11.26-12.05,175-368             元
20,【上海】 开心麻花爆笑舞台剧《竞演州长》,上海 | FANCL艺术中心 艺海剧院大剧场,2021.11.02-11.12,180-1180             元
21,【上海】 舞剧《歌唱祖国》,上海 | 上汽上海文化广场,2021.10.15-10.16,180-880             元
22,【上海】 百老汇经典音乐剧《人鬼情未了》中文版·抢先场,上海 | 九棵树未来艺术中心-大剧场,2021.11.13-11.14,80-580             元
23,【上海】 晓年青剧团｜【沉浸式互动秀】《蠢蛋秀》,上海 | 星空间10号·晓剧场,2021.10.12-10.31,288-388             元
24,【上海】 音乐剧《南唐后主》新·国风音乐剧系列,上海 | 上海大剧院-别克中剧场,2021.11.06-11.14,80-580             元
25,【上海】 浸入式互动戏剧《金钱世界》,上海 | 博华广场,2021.10.12-10.31,299-468             元
26,【上海】 奥特曼系列舞台剧《奥特传奇之英雄归来》,上海 | 东方艺术中心-歌剧厅,2021.11.13-11.14,280-880             元
27,【上海】 《歌剧双雄会》131121,上海 | 上海大剧院-大剧场,2021.11.13 周六 19:15,80-880             元
28,【上海】 开心麻花爆笑舞台剧《横财满屋》,上海 | 开心麻花剧场(上海南翔印象城MEGA店),2021.10.29-10.31,100-580             元
29,【上海】 音乐剧《福尔摩斯：安德森家的秘密》中文版-上海站,上海 | 云峰剧院,2022.01.06-01.13,100-580             元
30,【上海】 舞台剧《繁花》第二季,上海 | 美琪大戏院,2021.11.28-12.05,280-1080             元
31,【上海】 开心麻花喜剪吹沉浸剧场《疯狂理发店》,上海 | 疯狂理发店,2021.10.12-10.31,280-620             元
32,【上海】 万茜主演舞台剧《倾城之恋》,上海 | 上海大剧院-大剧场,2021.10.27-10.31,180-1080             元
33,【上海】 音乐剧《悟空》,上海 | 上剧场,2021.12.17-12.19,180-580             元
34,【上海】 开心麻花全能喜剧人争霸战《 嘻嘻！蛤？》,上海 | +0剧场(加零剧场),2021.10.22-10.24,180-380             元
35,【上海】 环境式驻演音乐剧《危险游戏》,上海 | 星空间66号·Salute小剧场,2021.10.11-10.31,299-399             元
36,【上海】 经典法语音乐剧《罗密欧与朱丽叶》中文版,上海 | 上汽上海文化广场,2021.11.26-12.05,80-1080             元
37,【上海】 舞台喜剧《惊梦》,上海 | 上海大剧院-大剧场,2021.11.18-11.21,180-1080             元
38,【上海】 原创音乐剧《赵氏孤儿》,上海 | 上汽上海文化广场,2021.10.27-10.31,80-1080             元
39,【上海】 环境式沉浸舞蹈剧场《寅时说》,上海 | 星空间5号·山眠剧场,2021.10.28-11.28,200-380             元
40,【上海】 染空间中文原创音乐剧《人间失格》,上海 | 上海大剧院-大剧场,2021.12.10-12.17,180-1080             元
41,【上海】 话剧《莎士比亚的罗朱》中文版,上海 | 上剧场,2021.12.02-12.12,280-580             元
42,【上海】 悬疑喜剧《低智商犯罪》,上海 | 美琪大戏院,2021.12.30-2022.01.02,180-580             元
43,【上海】 驻演爆笑喜剧《福尔摩斯探案：巴斯克维尔的猎犬》,上海 | 星空间221号·鲸剧场,2021.11.07-11.30,280-380             元
44,【上海】 开心麻花爆笑舞台剧《瞎画艺术家》,上海 | 开心麻花剧场(上海南翔印象城MEGA店),2021.10.22-10.24,100-580             元
45,【上海】 赖声川经典《暗恋桃花源》专属版,上海 | 上剧场,2022.02.17-02.27,100-800             元
46,【上海】 孟京辉经典戏剧作品《一个陌生女人的来信》,上海 | 上海大剧院-别克中剧场,2021.12.22-12.26,100-480             元
47,【上海】 赖声川的生命幻境旅程《曾经如是》,上海 | 上剧场,2022.01.10-01.11,580-2979             元
48,【上海】 开心麻花摇滚喜剧《牢友记》,上海 | 人民大舞台,2021.10.26-11.07,80-1180             元
49,【上海】 《伪君子》,上海 | 上海| 静安区文化馆·光影车间·静剧场,2021.11.26-12.05,175-368             元
50,【上海】 开心麻花爆笑舞台剧《竞演州长》,上海 | FANCL艺术中心 艺海剧院大剧场,2021.11.02-11.12,180-1180             元
51,【上海】 舞剧《歌唱祖国》,上海 | 上汽上海文化广场,2021.10.15-10.16,180-880             元
52,【上海】 百老汇经典音乐剧《人鬼情未了》中文版·抢先场,上海 | 九棵树未来艺术中心-大剧场,2021.11.13-11.14,80-580             元
53,【上海】 晓年青剧团｜【沉浸式互动秀】《蠢蛋秀》,上海 | 星空间10号·晓剧场,2021.10.12-10.31,288-388             元
54,【上海】 音乐剧《南唐后主》新·国风音乐剧系列,上海 | 上海大剧院-别克中剧场,2021.11.06-11.14,80-580             元
55,【上海】 浸入式互动戏剧《金钱世界》,上海 | 博华广场,2021.10.12-10.31,299-468             元
56,【上海】 奥特曼系列舞台剧《奥特传奇之英雄归来》,上海 | 东方艺术中心-歌剧厅,2021.11.13-11.14,280-880             元
57,【上海】 《歌剧双雄会》131121,上海 | 上海大剧院-大剧场,2021.11.13 周六 19:15,80-880             元
58,【上海】 开心麻花爆笑舞台剧《横财满屋》,上海 | 开心麻花剧场(上海南翔印象城MEGA店),2021.10.29-10.31,100-580             元
59,【上海】 音乐剧《福尔摩斯：安德森家的秘密》中文版-上海站,上海 | 云峰剧院,2022.01.06-01.13,100-580             元
60,【上海】 舞台剧《繁花》第二季,上海 | 美琪大戏院,2021.11.28-12.05,280-1080             元
61,【上海】 开心麻花喜剪吹沉浸剧场《疯狂理发店》,上海 | 疯狂理发店,2021.10.12-10.31,280-620             元
62,【上海】 万茜主演舞台剧《倾城之恋》,上海 | 上海大剧院-大剧场,2021.10.27-10.31,180-1080             元
63,【上海】 音乐剧《悟空》,上海 | 上剧场,2021.12.17-12.19,180-580             元
64,【上海】 开心麻花全能喜剧人争霸战《 嘻嘻！蛤？》,上海 | +0剧场(加零剧场),2021.10.22-10.24,180-380             元
65,【上海】 环境式驻演音乐剧《危险游戏》,上海 | 星空间66号·Salute小剧场,2021.10.11-10.31,299-399             元
66,【上海】 经典法语音乐剧《罗密欧与朱丽叶》中文版,上海 | 上汽上海文化广场,2021.11.26-12.05,80-1080             元
67,【上海】 舞台喜剧《惊梦》,上海 | 上海大剧院-大剧场,2021.11.18-11.21,180-1080             元
68,【上海】 原创音乐剧《赵氏孤儿》,上海 | 上汽上海文化广场,2021.10.27-10.31,80-1080             元
69,【上海】 环境式沉浸舞蹈剧场《寅时说》,上海 | 星空间5号·山眠剧场,2021.10.28-11.28,200-380             元
70,【上海】 染空间中文原创音乐剧《人间失格》,上海 | 上海大剧院-大剧场,2021.12.10-12.17,180-1080             元
71,【上海】 话剧《莎士比亚的罗朱》中文版,上海 | 上剧场,2021.12.02-12.12,280-580             元
72,【上海】 悬疑喜剧《低智商犯罪》,上海 | 美琪大戏院,2021.12.30-2022.01.02,180-580             元
73,【上海】 驻演爆笑喜剧《福尔摩斯探案：巴斯克维尔的猎犬》,上海 | 星空间221号·鲸剧场,2021.11.07-11.30,280-380             元
74,【上海】 开心麻花爆笑舞台剧《瞎画艺术家》,上海 | 开心麻花剧场(上海南翔印象城MEGA店),2021.10.22-10.24,100-580             元
75,【上海】 赖声川经典《暗恋桃花源》专属版,上海 | 上剧场,2022.02.17-02.27,100-800             元
76,【上海】 孟京辉经典戏剧作品《一个陌生女人的来信》,上海 | 上海大剧院-别克中剧场,2021.12.22-12.26,100-480             元
77,【上海】 赖声川的生命幻境旅程《曾经如是》,上海 | 上剧场,2022.01.10-01.11,580-2979             元
78,【上海】 开心麻花摇滚喜剧《牢友记》,上海 | 人民大舞台,2021.10.26-11.07,80-1180             元
79,【上海】 《伪君子》,上海 | 上海| 静安区文化馆·光影车间·静剧场,2021.11.26-12.05,175-368             元
80,【上海】 开心麻花爆笑舞台剧《竞演州长》,上海 | FANCL艺术中心 艺海剧院大剧场,2021.11.02-11.12,180-1180             元
81,【上海】 舞剧《歌唱祖国》,上海 | 上汽上海文化广场,2021.10.15-10.16,180-880             元
82,【上海】 百老汇经典音乐剧《人鬼情未了》中文版·抢先场,上海 | 九棵树未来艺术中心-大剧场,2021.11.13-11.14,80-580             元
83,【上海】 晓年青剧团｜【沉浸式互动秀】《蠢蛋秀》,上海 | 星空间10号·晓剧场,2021.10.12-10.31,288-388             元
84,【上海】 音乐剧《南唐后主》新·国风音乐剧系列,上海 | 上海大剧院-别克中剧场,2021.11.06-11.14,80-580             元
85,【上海】 浸入式互动戏剧《金钱世界》,上海 | 博华广场,2021.10.12-10.31,299-468             元
86,【上海】 奥特曼系列舞台剧《奥特传奇之英雄归来》,上海 | 东方艺术中心-歌剧厅,2021.11.13-11.14,280-880             元
87,【上海】 《歌剧双雄会》131121,上海 | 上海大剧院-大剧场,2021.11.13 周六 19:15,80-880             元
88,【上海】 开心麻花爆笑舞台剧《横财满屋》,上海 | 开心麻花剧场(上海南翔印象城MEGA店),2021.10.29-10.31,100-580             元
89,【上海】 音乐剧《福尔摩斯：安德森家的秘密》中文版-上海站,上海 | 云峰剧院,2022.01.06-01.13,100-580             元
